rollout,reward
10,269
20,-442
30,1477
40,-202
50,118
60,117
70,1227
80,948
90,648
100,39
110,469
120,-632
130,517
140,1328
150,1231
160,747
170,597
180,392
190,1648
200,-22
210,447
220,1019
230,1468
240,-23
250,897
260,1250
270,-1372
280,2069
290,948
300,1688
310,-234
320,1512
330,-482
340,387
350,1129
360,137
370,487
380,-122
390,-130
400,-1240
410,-228
420,-161
430,1018
440,1498
450,-752
460,-871
470,287
480,838
